******************** Binary Dataset metrics ********************
Binary-Cell-Dice-Mean:    0.797060336522931
Binary-Cell-Jacard-Mean:  0.7135717080681736
bPQ:                      0.6745384083138287
bDQ:                      0.8209660792674597
bSQ:                      0.8147851050320747
mPQ:                      0.5378705681705942
mDQ:                      0.645327751387372
mSQ:                      0.736734170756983
f1_detection:             0.8720657434343705
precision_detection:      0.8665014919011083
recall_detection:         0.8777019186658391
******************** Tissue metrics ********************
Tissue       Dice    Jaccard       mPQ       bPQ
--------  -------  ---------  --------  --------
colon     0.79706   0.713572  0.537871  0.674538
******************** Nuclei Type Metrics ********************
Nuclei Type          DQ        SQ        PQ
-------------  --------  --------  --------
neutrophil     0.330246  0.419235  0.256909
epithelial     0.791352  0.781079  0.623108
lymphocyte     0.730848  0.856268  0.645127
plasma         0.429795  0.649432  0.378252
eosinophil     0.406253  0.4119    0.317478
connective     0.714215  0.812247  0.594476
******************** Nuclei Detection Metrics ********************
Nuclei Type      Precision    Recall        F1
-------------  -----------  --------  --------
neutrophil        0.416599  0.412238  0.414407
epithelial        0.822357  0.846026  0.834024
lymphocyte        0.728967  0.745988  0.737379
plasma            0.454621  0.423037  0.438261
eosinophil        0.518315  0.386085  0.442533
connective        0.716543  0.717957  0.717249
